15,15,15,15,15,15,5,5,5,5,5,5,100,100,150
14,13,15,14,14.5,14,5,5,0,4.5,5,5,83.5,85.5,135
15,13,15,8.8,8,13,5,5,5,4,4,4.5,88.5,85.5,129
11.6,14,15,13.5,0,0,5,4.5,4.5,5,4,4,95.5,84,128
15,15,16,14,14.5,15,5,5,5,5,5,0,93,70,123
14.5,14,10,12.6,12,13,5,4.5,4,0,4,5,93,89.5,135
8.2,14,12,11.5,11.6,12.5,4.5,4.5,5,4.5,4.5,3,84.5,62,105
12.5,13,13.5,11.2,4.5,11.5,4,4,3.5,3.5,3,2.5,74,48,82
14.5,13,15,9.6,14.5,14.5,5,5,4.5,0,4,4,89,87.5,142
14.5,14,15,14,12,12.5,4.5,4.5,4.5,4.5,4.5,4,86,84,121
13.5,13.5,14.5,12,7.5,8.5,5,4.5,3,4,4.5,4,83,76.5,110
15,15,15,8.8,10,14,5,5,4.5,4.5,4.5,5,93.5,88,128
14.5,14,16,14,13,15,5,5,5,0,5,5,96.5,97,148
15,13.5,15,12,8.5,0,5,5,5,0,5,4.5,82.5,54.5,78
14.5,14.5,16,13,11.5,15,4.5,5,4.5,4,4.5,4,90.5,80,134
14,14,13.5,10.5,10.5,11,4,4.5,4.5,4,0,3.5,88.5,87,125
9,10.5,8.5,4.5,0,15,5,3.5,4.5,0,0,3,87,51,114
13,14,15.5,12.5,12.5,11,5,4,4.5,4.5,4.5,5,85.5,89.5,129
14.5,14,15,13.5,14.5,12.5,5,0,4.5,4.5,4.5,4.5,91,98.5,140
14,14,16,12,12,13,4.5,0,4.5,4.5,5,5,83.5,83,123
15,15,14.5,13,14,15,0,4.5,4,4.5,4.5,4.5,87,96,142
14.5,12.5,15,14,6.8,14,4.5,5,4.5,4,3.5,3.5,81.5,70,105
14,13,16,11,13.5,15,5,4.5,4.5,0,5,5,94,91.5,129
15,15,16,14,14,15,5,0,4,4.5,4,5,88.5,82.5,117
14.5,14.5,16,12.5,9,15,4,0,5,5,5,4.5,86,70,136
14.5,15,13.5,10,5,11.5,4.5,4.5,4,0,3.5,3.5,73,56,93
14.5,13.5,15,14,12.5,14,5,4.5,3.5,5,4,4,85,91.5,131
14.5,14,15,9.6,11,15,4.5,4.5,5,0,5,4,85,72,107
15,15,16,13.5,15,14,5,5,5,5,5,0,97,89,142
14.5,14.5,16,12,13.5,12,5,0,4.5,4.5,5,4.5,88.5,72.5,117
12.5,14,11.5,5.5,8,11.5,4.5,4,4,4.5,3.5,3,77.5,78,126
14,14.5,14.5,13.5,12.5,15,5,0,4,4.5,3,4,91,91.5,146
14,14,15,13.5,14,13.5,5,0,5,5,5,5,97,78.5,127
15,14.5,16,13.5,13,15,0,5,4.5,4.5,5,5,96,97,145
